ID,Gene Symbol,RefSeq Transcript ID,Chromosome,DS_Cerebellum_1218,DS_Cerebellum_1389,DS_Cerebellum_1478,DS_Cerebrum_1218,DS_Cerebrum_1389,DS_Cerebrum_1478,DS_Cerebrum_847,Normal-Cerebellum-1390,Normal-Cerebellum-1411,Normal-Cerebellum-1521,Normal-Cerebrum-1390,Normal-Cerebrum-1411,Normal-Cerebrum-1521,Normal-Cerebrum-1565,,,,,,,,,,,,,,
222356_at,TBL1Y,NM_033284 /// NM_134258 /// NM_134259,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217261_at,TTTY2,NR_001536,Y,121.8692346,124.1284415,120.729118,104.6305145,109.5594346,108.2385038,115.6779476,128.5967215,119.0034667,122.8326132,164.9071323,158.7035072,127.7987379,120.729118,,,,,,,,,,,,,,
217162_at,TSPY1,NM_003308,Y,77.69931523,78.5886937,69.25710467,70.7947171,66.81777397,65.06681199,72.21717862,69.74607506,75.05156434,90.40622089,81.07751216,84.3116319,88.3482622,72.71543853,,,,,,,,,,,,,,
217160_at,TSPY1,NM_003308,Y,82.17969916,84.98994235,84.82865813,92.74194325,77.86644721,81.24629813,79.46182681,80.64705669,80.85919177,86.54928985,87.06012357,96.68767839,94.04375123,84.98994235,,,,,,,,,,,,,,
217049_x_at,PCDH11Y,NM_032971 /// NM_032972 /// NM_032973,Y,28.89043435,26.60766295,26.94358944,28.128878,29.52469186,25.35309826,25.21831895,26.59697121,26.24407996,26.24407996,27.46628968,24.8811292,27.85800842,25.5960586,,,,,,,,,,,,,,
216922_x_at,DAZ1 /// DAZ3 /// DAZ2 /// DAZ4,NM_001005375 /// NM_001005785 /// NM_001005786 /// NM_004081 /// NM_020363 /// NM_020364 /// NM_020420,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216842_x_at,RBMY1A1 /// RBMY2FP /// RBMY1F /// RBMY1B /// RBMY1D /// RBMY1E /// RBMY1J,NM_001006117 /// NM_001006118 /// NM_001006120 /// NM_001006121 /// NM_001007526 /// NM_005058 /// NM_152585 /// NR_002193,Y,190.9074739,189.5546642,201.279992,164.4345996,166.6722213,166.0242145,178.771114,177.3382338,206.3014394,223.278425,231.7233831,228.4113018,189.608552,169.8114799,,,,,,,,,,,,,,
216786_at,LOC159110,---,Y,12.94954893,14.84021321,14.53319467,13.34826186,13.21303576,14.27857307,12.95574367,14.2687791,13.57001192,13.98695495,14.80753804,15.0072727,13.96777134,14.38755981,,,,,,,,,,,,,,
216673_at,TTTY1,NR_001538,Y,26.44036034,28.18957915,30.91188938,26.90458555,26.17794497,23.76275286,25.94383745,23.97817764,25.54182853,28.53004645,27.6584799,28.65271639,25.46740238,24.22492247,,,,,,,,,,,,,,
216665_s_at,TTTY2,NR_001536,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216544_at,RBMY2FP,NR_002193,Y,22.03400597,28.46919555,23.67725888,22.03400597,18.21822146,21.13115842,19.58055683,23.2057409,19.75067626,21.8419525,31.45331332,25.1807639,22.02469344,21.16736775,,,,,,,,,,,,,,
216351_x_at,DAZ1 /// DAZ3 /// DAZ2 /// DAZ4,NM_001005375 /// NM_001005785 /// NM_001005786 /// NM_004081 /// NM_020363 /// NM_020364 /// NM_020420,Y,23.00618877,37.47925033,24.80570114,22.77138329,21.85664122,22.62678879,23.10671168,27.11651396,23.39956717,23.80676826,29.2037178,30.00227644,22.09778481,24.26255952,,,,,,,,,,,,,,
214983_at,TTTY15,NR_001545,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214131_at,CYorf15B,NM_032576,Y,15.14447961,16.11251617,15.29713915,13.94107598,14.73004669,14.89349068,14.99760347,15.19768903,16.27685689,16.12346375,16.51219747,17.62253954,14.67033599,14.95887756,,,,,,,,,,,,,,
211462_s_at,TBL1Y,NM_033284 /// NM_134258 /// NM_134259,Y,26.94003644,27.5817055,24.50764559,25.17901619,27.87172189,23.28566075,23.91195097,26.899544,24.69248156,27.24897062,31.19991043,28.80585085,23.49203906,23.1118368,,,,,,,,,,,,,,
211227_s_at,PCDH11Y,NM_032971 /// NM_032972 /// NM_032973,Y,10.91272966,11.58776096,12.74103068,11.78206146,12.93241648,12.33400895,11.38877034,11.800041,11.23462516,11.16800909,12.92874102,11.85390149,11.58776096,11.58776096,,,,,,,,,,,,,,
211149_at,UTY,NM_007125 /// NM_182659 /// NM_182660,Y,9.990174725,10.89111716,9.789532578,9.700036008,11.0623047,10.03862723,9.903235533,10.1306166,10.64984124,10.21700206,11.03764128,13.26874452,9.984013563,10.46898797,,,,,,,,,,,,,,
210322_x_at,UTY,NM_007125 /// NM_182659 /// NM_182660,Y,54.61404768,53.23747461,58.44914871,53.75474123,54.61404768,44.65345856,40.98857922,54.61404768,62.54965026,54.19883778,60.78781264,64.48984766,59.44115231,55.2613883,,,,,,,,,,,,,,
208339_at,XKRY /// XKRY2,NM_001002906 /// NM_004677,Y,15.6429412,16.02686061,16.97806219,15.85757088,16.14952811,15.09250151,17.48601891,14.54256689,15.76430882,15.42095301,14.9485132,17.1137051,16.33630978,15.96167412,,,,,,,,,,,,,,
208332_at,PRY,NM_004676,Y,88.78228389,114.5703401,95.67499522,86.06949822,77.53092755,81.71392099,79.15068872,83.67241243,83.47198625,87.93830377,120.119783,106.6115462,87.61525735,86.09336902,,,,,,,,,,,,,,
208307_at,RBMY1A1 /// RBMY1F /// RBMY1B /// RBMY1D /// RBMY1E /// RBMY1J,NM_001006117 /// NM_001006118 /// NM_001006120 /// NM_001006121 /// NM_001007526 /// NM_005058 /// NM_152585,Y,35.95997665,48.59278425,37.68582297,39.47343578,36.6753836,40.00975613,37.78836181,42.84396308,34.98949611,40.6592023,46.52808815,50.22138571,42.87426356,37.06948355,,,,,,,,,,,,,,
208282_x_at,DAZ1 /// DAZ3 /// DAZ2 /// DAZ4,NM_001005375 /// NM_001005785 /// NM_001005786 /// NM_004081 /// NM_020363 /// NM_020364 /// NM_020420,Y,16.06645813,19.02217023,16.60205461,15.30424446,15.94895438,16.39916118,15.99966684,17.12153534,15.84361966,16.65830655,18.2870439,18.47228168,15.24527198,16.58296436,,,,,,,,,,,,,,
208281_x_at,DAZ1 /// DAZ3 /// DAZ2 /// DAZ4,NM_001005375 /// NM_001005785 /// NM_001005786 /// NM_004081 /// NM_020363 /// NM_020364 /// NM_020420,Y,49.73328662,72.26123054,50.27989836,45.63946239,47.74971558,46.87381135,51.02704235,49.07273922,48.12684395,47.68256242,74.73800462,64.1843611,51.81507905,51.08507534,,,,,,,,,,,,,,
208220_x_at,AMELY,NM_001143,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208067_x_at,UTY,NM_007125 /// NM_182659 /// NM_182660,Y,97.46417236,150.9764962,86.58648581,91.02368749,112.1557695,103.6380363,102.3196883,108.735552,103.6380363,97.34264149,132.3615099,145.3170496,103.6380363,103.6380363,,,,,,,,,,,,,,
