,Root,LeftChild,RightChild,LeftLeftChild,LeftRightChild,RightLeftChild,RightRightChild
Motif,ETS_ELK4_HeLa-S3_encode-Snyder_seq_hsa_MDscan_2,ETS_GABPA_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_2,ETS_ETS1_GM12878_encode-Myers_seq_hsa_AlignACE_3,ETS_ETS1_K562_encode-Myers_seq_hsa_v041610.1_MEME_3,ETS_GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_AlignACE_1,ETS_GABPA_HepG2_encode-Myers_seq_hsa_PCR2x_MEME_2,ETS_ETS1_K562_encode-Myers_seq_hsa_v041610.1_Weeder_3
Phi,0.2417857142857143,0.8604658502714303,0.09826014791850225,0.6872818764710658,0.8823045267489712,0.8700178465199286,0.1465096980975748
Foreground,714,342,372,215,127,153,219
Background,686,13,673,6,7,10,663
,Root,LeftChild,RightChild,LeftLeftChild,LeftRightChild,RightLeftChild,RightRightChild
Motif,ETS_GABPA_HeLa-S3_encode-Myers_seq_hsa_MDscan_2,ETS_ETS1_GM12878_encode-Myers_seq_hsa_AlignACE_3,ETS_ETS1_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_1,ETS_ETS1_K562_encode-Myers_seq_hsa_v041610.1_MEME_3,ETS_GABPA_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_3,ETS_ELK4_HeLa-S3_encode-Snyder_seq_hsa_MEME_2,ETS_ETS1_K562_encode-Myers_seq_hsa_v041610.1_Weeder_3
Phi,0.2467959183673469,0.8996349672532995,0.07698970191408967,0.821522900841506,0.9044941072913101,0.4793414396581519,0.17252756095598296
Foreground,711,354,357,218,136,223,134
Background,689,8,681,2,6,85,596
,Root,LeftChild,RightChild,LeftLeftChild,LeftRightChild,RightLeftChild,RightRightChild
Motif,ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_Weeder_2,ETS_ETS1_GM12878_encode-Myers_seq_hsa_AlignACE_3,ETS_ETS1_K562_encode-Myers_seq_hsa_v041610.1_AlignACE_1,ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_MDscan_2,ETS_GABPA_GM12878_encode-Myers_seq_hsa_PCR2x_AlignACE_3,ETS_GABPA_H1-hESC_encode-Myers_seq_hsa_MEME_3,ETS_ETS1_GM12878_encode-Myers_seq_hsa_MEME_2
Phi,0.23141224489795914,0.9465073208813296,0.10431751308371329,0.7797256302182609,0.9365244536940686,0.4728847751275662,0.18794662201364562
Foreground,686,340,346,190,150,226,120
Background,714,6,708,2,4,91,617
